Customer,Chosen,Price1,Feature1,Display1,Price2,Feature2,Display2,Price3,Feature3,Display3
1,1,0.68,0,0,0.69,0,0,0.68,0,0
1,2,0.68,0,0,0.54,0,0,0.68,0,0
1,1,0.55,1,0,0.68,0,1,0.55,1,0
1,2,0.59,0,0,0.59,0,0,0.59,0,0
1,2,0.59,0,0,0.49,0,0,0.59,0,0
2,1,0.56,0,0,0.79,0,0,0.56,0,0
3,3,0.68,0,0,0.79,0,0,0.68,0,0
3,1,0.49,0,0,0.59,0,0,0.49,0,0
4,2,0.79,0,0,0.58,1,0,0.79,0,0
4,1,0.56,1,0,0.79,0,0,0.56,1,0
4,1,0.68,0,0,0.68,0,0,0.68,0,0
4,3,0.56,0,0,0.56,0,0,0.56,0,0
4,2,0.68,0,0,0.69,0,0,0.68,0,0
4,2,0.68,0,0,0.69,0,0,0.68,0,0
4,2,0.79,0,0,0.58,1,0,0.79,0,0
4,2,0.69,0,0,0.79,0,0,0.69,0,0
4,2,0.69,0,0,0.49,1,0,0.69,0,0
4,1,0.68,1,0,0.68,0,0,0.68,1,0
4,2,0.69,0,0,0.68,1,1,0.69,0,0
4,2,0.69,0,0,0.55,0,0,0.69,0,0
4,2,0.69,0,0,0.68,0,1,0.69,0,0
4,1,0.68,1,0,0.68,0,0,0.68,1,0
4,1,0.55,1,0,0.68,0,0,0.55,0,0
4,2,0.69,0,0,0.54,1,0,0.69,0,0
4,2,0.69,0,0,0.68,0,0,0.69,0,0
4,1,0.55,1,0,0.79,0,0,0.55,1,0
4,2,0.69,0,0,0.66,0,0,0.69,0,0
4,2,0.69,0,0,0.68,1,0,0.69,0,0
4,2,0.69,0,0,0.58,1,0,0.69,0,0
4,2,0.69,0,0,0.49,1,0,0.69,0,0
4,2,0.59,0,0,0.48,1,0,0.59,0,0
4,2,0.59,0,0,0.48,0,0,0.59,0,0
4,1,0.49,0,0,0.59,0,0,0.49,0,0
4,1,0.58,1,0,0.59,0,0,0.58,0,0
4,2,0.59,0,0,0.58,1,0,0.59,0,0
5,1,0.54,1,0,0.73,0,0,0.54,1,0
5,3,0.58,1,0,0.69,0,0,0.58,1,0
5,2,0.69,0,0,0.69,0,0,0.69,0,0
5,1,0.68,1,0,0.69,0,0,0.68,1,0
