id,date,brand,p.1,f.1,d.1,p.2,f.2,d.2,p.3,f.3,d.3,p.4,f.4,d.4,p.5,f.5,d.5
1,9396,1,0.6799998283,0,0,0.6899995804,0,0,0.6799998283,0,0,0.6899995804,0,0,0.7299995422,0,0
1,9690,2,0.6799998283,0,0,0.5399999619,0,0,0.6799998283,0,0,0.5399999619,0,0,0.6499996185,0,0
1,9715,1,0.5499997139,1,0,0.6799998283,0,1,0.5499997139,1,0,0.6799998283,0,0,0.6499996185,0,0
1,9980,2,0.5899996758,0,0,0.5899996758,0,0,0.5899996758,0,0,0.5899996758,0,0,0.5499997139,0,0
1,9993,2,0.5899996758,0,0,0.4899997711,0,0,0.5899996758,0,0,0.4899997711,0,0,0.5499997139,0,0
2,9265,1,0.5599999428,0,0,0.7899999619,0,0,0.5599999428,0,0,0.7899999619,0,0,0.7299995422,0,0
3,9280,3,0.6799998283,0,0,0.7899999619,0,0,0.6799998283,0,0,0.7899999619,0,0,0.7299995422,0,0
3,9409,5,0.6899995804,0,0,0.6899995804,0,0,0.6899995804,0,0,0.6899995804,0,0,0.7299995422,0,0
3,9835,4,0.5899996758,0,0,0.5899996758,0,0,0.5899996758,0,0,0.5899996758,0,0,0.5499997139,0,0
3,9930,1,0.4899997711,0,0,0.5899996758,0,0,0.4899997711,0,0,0.5899996758,0,0,0.5499997139,0,0
3,9964,5,0.5899996758,0,0,0.5799999237,0,0,0.5899996758,0,0,0.5799999237,0,0,0.5499997139,0,0
4,9199,2,0.7899999619,0,0,0.5799999237,1,0,0.7899999619,0,0,0.5799999237,1,0,0.7299995422,0,0
4,9261,1,0.5599999428,1,0,0.7899999619,0,0,0.5599999428,1,0,0.7899999619,0,0,0.7299995422,0,0
4,9282,1,0.6799998283,0,0,0.6799998283,0,0,0.6799998283,0,0,0.7899999619,0,0,0.7299995422,0,0
4,9293,3,0.5599999428,0,0,0.5599999428,0,0,0.5599999428,0,0,0.7899999619,0,0,0.7299995422,0,0
4,9339,4,0.6799998283,0,0,0.7899999619,0,0,0.6799998283,0,0,0.7899999619,0,0,0.7299995422,0,0
4,9360,4,0.6799998283,0,0,0.5399999619,1,0,0.6799998283,0,0,0.5399999619,1,0,0.7299995422,0,0
4,9388,2,0.6799998283,0,0,0.6899995804,0,0,0.6799998283,0,0,0.6899995804,0,0,0.7299995422,0,0
4,9388,2,0.6799998283,0,0,0.6899995804,0,0,0.6799998283,0,0,0.6899995804,0,0,0.7299995422,0,0
4,9430,2,0.7899999619,0,0,0.5799999237,1,0,0.7899999619,0,0,0.5799999237,1,0,0.6499996185,0,0
4,9507,2,0.6899995804,0,0,0.7899999619,0,0,0.6899995804,0,0,0.7899999619,0,0,0.6499996185,0,0
4,9542,2,0.6899995804,0,0,0.4899997711,1,0,0.6899995804,0,0,0.4899997711,1,0,0.6499996185,0,0
4,9549,1,0.6799998283,1,0,0.6799998283,0,0,0.6799998283,1,0,0.6799998283,0,0,0.6499996185,0,0
